county,lat,lon,month,ghi,dni,temp_air,median_income,county_fips,land_area_sqkm
Galveston,29.3013,-94.7977,3,178.51002688172042,149.64122311827958,19.223104838709677,83913,48167,1554
Galveston,29.3013,-94.7977,4,213.30248611111114,171.9752083333333,20.707055555555556,83913,48167,1554
Galveston,29.3013,-94.7977,5,239.75057795698925,167.44889784946236,24.957110215053763,83913,48167,1554
Galveston,29.3013,-94.7977,6,297.28954166666665,266.26726388888886,28.695333333333334,83913,48167,1554
Galveston,29.3013,-94.7977,7,292.9487634408602,264.31931451612905,30.68752688172043,83913,48167,1554
Galveston,29.3013,-94.7977,8,283.9613306451613,272.1412231182796,32.07224462365591,83913,48167,1554
Galveston,29.3013,-94.7977,9,236.176,238.6555,29.978416666666664,83913,48167,1554
Galveston,29.3013,-94.7977,10,175.51491935483872,192.64227150537636,23.301129032258064,83913,48167,1554
Galveston,29.3013,-94.7977,11,123.67556944444445,135.59508333333335,17.32623611111111,83913,48167,1554
Galveston,29.3013,-94.7977,12,128.2545564516129,165.93229838709678,14.34909946236559,83913,48167,1554
Guadalupe,29.5888,-97.94,1,128.07755376344085,183.5067741935484,12.932110215053763,88111,48187,1850
Guadalupe,29.5888,-97.94,2,155.46928571428572,166.77916666666667,13.352886904761904,88111,48187,1850
Guadalupe,29.5888,-97.94,3,174.1032123655914,136.2262365591398,19.42052419354839,88111,48187,1850
Guadalupe,29.5888,-97.94,4,200.37030555555555,153.81716666666668,20.20359722222222,88111,48187,1850
Guadalupe,29.5888,-97.94,5,226.83590053763442,147.99537634408603,23.72614247311828,88111,48187,1850
Guadalupe,29.5888,-97.94,6,296.64529166666665,274.32269444444444,29.181305555555557,88111,48187,1850
Guadalupe,29.5888,-97.94,7,299.3960752688172,283.1487903225807,32.43461021505376,88111,48187,1850
Guadalupe,29.5888,-97.94,8,295.49862903225807,317.20674731182794,33.07077956989247,88111,48187,1850
Guadalupe,29.5888,-97.94,9,242.171625,243.83118055555556,31.018583333333336,88111,48187,1850
Guadalupe,29.5888,-97.94,10,164.46557795698925,170.78012096774194,22.85467741935484,88111,48187,1850
Guadalupe,29.5888,-97.94,11,119.96293055555556,137.51826388888887,15.55038888888889,88111,48187,1850
Guadalupe,29.5888,-97.94,12,132.60158602150537,204.36080645161292,13.476182795698925,88111,48187,1850
Harris,29.7604,-95.3698,1,115.59123655913979,157.33010752688173,13.253306451612902,70789,48201,4456
Harris,29.7604,-95.3698,2,138.3623363095238,143.10459821428572,14.06877976190476,70789,48201,4456
Harris,29.7604,-95.3698,3,172.28774193548387,145.39993279569893,18.50258064516129,70789,48201,4456
Harris,29.7604,-95.3698,4,199.50449999999998,155.058375,19.761527777777776,70789,48201,4456
Harris,29.7604,-95.3698,5,228.8659139784946,154.45780913978496,24.306653225806453,70789,48201,4456
Harris,29.7604,-95.3698,6,295.01475,263.56924999999995,29.14415277777778,70789,48201,4456
Harris,29.7604,-95.3698,7,276.5091532258065,254.2605376344086,31.98434139784946,70789,48201,4456
Harris,29.7604,-95.3698,8,290.80756720430105,300.9930376344086,33.64827956989247,70789,48201,4456
Harris,29.7604,-95.3698,9,224.403875,228.14398611111113,30.207652777777774,70789,48201,4456
Harris,29.7604,-95.3698,10,176.28564516129032,201.3162634408602,22.116317204301076,70789,48201,4456
Harris,29.7604,-95.3698,11,121.98243055555557,140.84830555555556,15.634902777777777,70789,48201,4456
Harris,29.7604,-95.3698,12,127.78754032258064,186.89751344086022,12.78149193548387,70789,48201,4456
Hays,29.9902,-98.03,1,135.5574059139785,201.10879032258066,11.843588709677418,79990,48209,1751
Hays,29.9902,-98.03,2,159.60086309523808,180.86279761904763,12.170238095238094,79990,48209,1751
Hays,29.9902,-98.03,3,173.51107526881722,139.41612903225808,18.31432795698925,79990,48209,1751
Hays,29.9902,-98.03,4,205.8738611111111,166.71230555555556,19.492819444444443,79990,48209,1751
Hays,29.9902,-98.03,5,222.31418010752688,140.61052419354837,23.210013440860216,79990,48209,1751
Hays,29.9902,-98.03,6,288.9311666666667,263.85394444444444,29.268652777777778,79990,48209,1751
Hays,29.9902,-98.03,7,299.45888440860216,285.0504704301075,32.29829301075269,79990,48209,1751
Hays,29.9902,-98.03,8,291.4134677419355,308.1521774193548,32.89575268817204,79990,48209,1751
Hays,29.9902,-98.03,9,241.367375,247.47144444444444,30.21079166666667,79990,48209,1751
Hays,29.9902,-98.03,10,159.91315860215053,159.87112903225807,22.04561827956989,79990,48209,1751
Hays,29.9902,-98.03,11,123.74026388888889,151.152875,14.636,79990,48209,1751
Hays,29.9902,-98.03,12,128.58989247311828,205.9534139784946,12.479704301075268,79990,48209,1751
Hidalgo,26.3017,-98.1633,1,147.27959677419355,201.6059139784946,18.61768817204301,49371,48215,3902
Hidalgo,26.3017,-98.1633,2,184.48111607142857,201.65684523809523,18.589002976190475,49371,48215,3902
Hidalgo,26.3017,-98.1633,3,188.86379032258066,169.16029569892473,23.31430107526882,49371,48215,3902
Hidalgo,26.3017,-98.1633,4,197.3184722222222,138.42081944444445,24.361625,49371,48215,3902
Hidalgo,26.3017,-98.1633,5,233.68352150537635,164.07684139784945,26.999314516129033,49371,48215,3902
Hidalgo,26.3017,-98.1633,6,316.6507361111111,331.2621388888889,31.55522222222222,49371,48215,3902
Hidalgo,26.3017,-98.1633,7,304.50798387096773,305.10337365591397,31.684919354838712,49371,48215,3902
Hidalgo,26.3017,-98.1633,8,286.8713440860215,297.71255376344084,31.75209677419355,49371,48215,3902
Hidalgo,26.3017,-98.1633,9,265.30854166666666,311.0639722222222,31.33673611111111,49371,48215,3902
Hidalgo,26.3017,-98.1633,10,172.73560483870966,181.2958064516129,25.751344086021504,49371,48215,3902
